t1_champ_0,t1_champ_1,t1_champ_2,t1_champ_3,t1_champ_4,t2_champ_0,t2_champ_1,t2_champ_2,t2_champ_3,t2_champ_4,t1_win
122,245,39,29,111,114,517,82,119,40,1
157,245,50,18,526,6,77,45,222,350,1
114,121,85,202,235,904,245,134,498,117,0
85,120,8,51,99,246,245,10,50,26,0
799,203,157,901,117,54,234,4,498,89,1
54,245,246,81,40,98,131,61,157,44,0
85,56,3,222,526,39,245,55,236,117,1
893,245,6,22,43,14,246,38,145,117,1
2,35,904,145,32,39,245,101,96,117,0
24,141,142,42,99,950,245,166,22,43,0
897,200,8,119,40,54,245,166,523,117,1
27,245,166,901,412,17,48,69,81,89,1
98,245,90,81,40,58,30,157,236,555,0
893,59,166,22,117,122,245,131,21,78,1
14,113,238,147,235,126,245,91,221,117,0
54,59,127,222,555,904,200,245,498,79,1
98,246,61,18,555,80,245,25,202,89,1
516,245,38,222,902,14,59,131,51,518,1
78,245,30,236,60,10,107,90,42,267,0
904,91,55,498,117,58,245,90,360,89,1
142,266,26,67,111,92,245,134,221,80,0
142,246,163,119,902,10,59,901,81,35,1
133,131,166,800,235,142,141,84,202,432,0
904,887,142,81,147,39,246,55,131,412,1
82,799,157,202,142,122,76,166,910,53,1
54,200,142,360,89,31,91,238,221,12,1
887,876,238,51,236,157,245,166,119,412,0
142,107,90,360,555,799,91,112,222,902,1
799,77,238,221,902,904,59,84,142,60,0
75,30,517,202,79,92,876,10,157,201,0
114,904,105,202,497,122,234,90,67,902,0
98,234,142,800,526,799,141,10,67,89,0
114,76,901,42,142,106,59,90,236,350,1
84,104,142,96,267,78,141,10,42,80,0
23,141,84,145,64,83,59,38,15,497,1
98,234,55,221,64,420,59,39,21,78,0
6,121,8,800,235,420,876,131,901,40,1
24,91,142,119,40,6,131,887,21,12,1
36,121,25,21,902,777,141,79,99,267,1
799,30,7,18,89,78,141,134,901,412,1
122,799,38,901,161,114,246,777,143,26,0
39,238,131,21,526,34,950,76,161,412,1
36,517,245,50,412,39,950,134,22,875,1
17,799,910,18,43,84,238,101,145,60,1
904,72,134,145,53,122,246,84,910,412,1
114,141,133,96,32,82,59,166,45,800,0
34,121,893,22,111,799,200,105,145,117,1
904,56,127,360,44,114,427,134,895,72,0
98,245,90,21,412,31,234,7,18,40,1
904,79,238,18,72,77,245,55,360,412,1
126,904,45,21,555,41,141,161,29,526,1
36,121,134,202,555,50,120,136,81,526,1
24,35,131,236,12,31,245,134,145,412,1
85,120,777,18,555,8,104,134,81,412,0
86,59,157,800,78,164,245,246,145,235,0
904,102,134,29,888,17,23,166,804,117,0
904,64,55,22,32,2,126,6,800,147,1
